id,name,lat_a,lng_a,lat_b,lng_b
4f917e70-4517-4bb4-9aab-9b08c0890823,woro woro : Riviera 2 → Saint Jean,5.3527,-3.9768,5.336,-4.0036
c9db93f9-cd99-4f01-96d6-5078998f7215,gbaka : Belle Ville → Angré Pétro Ivoire,5.4316,-3.9889,5.405,-3.9907
fba1b259-5142-4e7a-948d-dd42e757ea0d,woro woro : Saint Jean → Riviera 2,5.3359,-4.0036,5.3375,-3.976
a2a71d6c-52d0-43ab-8619-01aa195d12f1,woro woro : Angré Château → Saint Jean,5.4153,-3.9774,5.3365,-4.004
5715f91a-05a5-4d4f-8ff4-f72c221eea19,woro woro : Saint Jean → Angré Château,5.3365,-4.0039,5.4152,-3.9773
7e7452e7-4390-4604-bc8e-7a1d60f288f5,woro woro : Angré Pétro Ivoire → Saint Jean,5.4042,-3.9908,5.3365,-4.004
775984d1-0622-4bd2-8c32-72550f3fb1f3,woro woro : Saint Jean → Angré Pétro Ivoire,5.3365,-4.0039,5.4046,-3.9907
f6b176b3-a92a-42a1-8e63-719b65fa7d50,woro woro : Abobo Gare → Angré Petro Ivoire,5.4214,-4.0154,5.4046,-3.9923
a15a39be-ab28-4ef0-b66e-c26f68dad06f,woro woro : Terminus 81-82 → Palmeraie,5.36,-3.9617,5.4038,-3.9849
3d5429a4-264c-427e-ae9c-d58e1fb38957,woro woro : Palmeraie → Abobo Azur Mobil,5.3604,-3.9618,5.4,-4.0062
182b7944-9d10-4b2c-bf70-e21ec4dac465,woro woro : Palmeraie → Terminus 81-82,5.3604,-3.9618,5.4038,-3.9849
67540f85-64c1-485d-a1c2-b9cbfb692c2d,woro woro : Akouédo → 9 kilo,5.3484,-3.941,5.3573,-3.9639
99d47689-7fd5-4729-8e11-55e83d715414,woro woro : 9 kilo → Akouédo,5.3484,-3.941,5.3575,-3.964
70d9b5fc-bd55-471a-897a-de3d6a74d798,woro woro : Ciad Eden → 9 kilo,5.3284,-3.9403,5.3573,-3.9639
1b219fd0-570a-4483-baa1-7f67662fc53a,woro woro : 9 kilo → Ciad Eden,5.3284,-3.9403,5.3575,-3.964
2af3010b-9096-4e96-81b0-857e7e5b0f56,gbaka : Centre Culturel → Angré Château,5.4209,-4.0144,5.4152,-3.9773
dbbfb464-6d7c-437d-a0bb-378a7f965418,gbaka : Dokui Azur → Liberté,5.3999,-4.0065,5.3561,-4.016
a066ac34-7305-4f83-b38d-d4010600f0c4,gbaka : Liberté → Dokui Azur,5.3553,-4.0161,5.3988,-4.0065
2429e406-a1d1-4f97-a619-29628b208a3b,woro woro : Sol Beni au bateau STL → 9 kilo,5.3251,-3.9601,5.3573,-3.9639
09bb36ba-40b8-4f34-b5d9-cbd383cccf9c,woro woro : 9 kilo → Sol Beni au bateau STL,5.3251,-3.9601,5.3575,-3.964
18cc181a-663a-475b-ac6a-481a3571e02c,woro woro : Abri 2000 → Bonoumin,5.3748,-3.9705,5.3585,-3.9652
4668ca87-03a4-48b9-bfad-2083da87fee5,woro woro : Bonoumin → Abri 2000,5.3585,-3.9652,5.3749,-3.9703
b2ea91a2-07a8-424b-8a65-b534f3047322,gbaka : Liberté → CIE,5.3553,-4.0161,5.4195,-4.0154
e7ae17f9-1c0b-4d44-843c-71e6d28943bf,woro woro : CHU Angré → Station après barage,5.3664,-3.9606,5.3662,-3.9606
befb4f56-4995-4427-9fd6-1a60eafa53c7,woro woro : Station après barage → CHU Angré,5.3661,-3.9605,5.3661,-3.9605
66c46f45-90ec-44df-930d-a19973fbc0ab,gbaka : Liberté → Rivera 2,5.3534,-4.015,5.3529,-3.977
5d014336-ba7a-474c-8cab-304ca198a781,woro woro : Rosier Programme 6 → Station après barage,5.3963,-3.9692,5.3784,-3.9592
eee04242-0713-4bb2-8b20-dd3cc54ed2f2,woro woro : Station après barage → Rosier Programme 6,5.3663,-3.9605,5.3963,-3.9692
1100488c-1f99-4cc4-92af-530e7a34b00d,woro woro : Angré Petro Ivoire → Station après barage,5.3663,-3.9605,5.4044,-3.9901
17cf5ae5-8ebe-4344-8254-5998562b7362,woro woro : Sable → Koweit,5.3553,-4.0656,5.3355,-4.0623
9663eae2-41f8-4261-84b5-c9f781353aee,gbaka : Liberté → Samake,5.3553,-4.0161,5.4145,-4.0063
e6e82abe-398c-4f34-9fe3-6f8e77fd4f96,woro woro : Station après barage → Angré Petro Ivoire,5.3664,-3.9606,5.4044,-3.9905
b89a79d2-b210-4670-ae92-850043f5dedb,woro woro : Anono → Riviera 2,5.3396,-3.9751,5.3527,-3.9768
7e0b0738-42f9-41d8-a8a8-4d6daa287bbc,woro woro : Riviera 2 → Anono,5.3396,-3.9751,5.3527,-3.9768
dfbdd836-3719-4f1f-a5d6-70c3c4703028,gbaka : M'Badon → 9 kilo,5.3287,-3.9324,5.3565,-3.9629
28649976-fd22-4cb4-a99c-b2383aff0d6d,gbaka : Lycée Moderne d'Abobo → Zoo,5.4271,-4.0146,5.379,-4.0069
824ef04c-a918-4d3f-b429-86f7ebe9f5f0,gbaka : 9 kilo → M'Badon,5.3566,-3.9631,5.3287,-3.9324
d7cc0842-9c01-48fe-a22d-cbe9800358b1,woro-woro : Gare Wôro-Wôrô 9 Kilo → Riviera 2 Station,5.3578,-3.9645,5.3513,-3.9762
394a8348-3391-4fc8-b5e4-ebfe2184b002,woro-woro : Riviera 2 Station → 9 Kilo,5.3514,-3.9763,5.3574,-3.9643
f8847e94-cd65-4865-8663-668accc8340d,woro woro : Blockhauss → Saint Jean,5.3251,-4.0016,5.3357,-4.0039
d9469b92-166a-430d-8cd3-58cf9506ea8b,woro woro : Saint Jean → Blockhauss,5.3357,-4.0041,5.3251,-4.0015
272f1ad7-7602-45fe-8061-859e1c544d0b,woro-woro : CHU de Cocody → Blockauss,5.3466,-3.9946,5.3251,-4.0015
66cfa445-3db6-421d-812a-9a3adddf94ef,woro-woro : Blockauss → CHU de Cocody,5.3251,-4.0015,5.3463,-3.9928
cf36d623-d176-4068-bb20-195931ab0f79,woro-woro : La vie → Blockauss,5.3481,-4.0026,5.3251,-4.0015
28e63e84-6ca5-40e4-bd5c-a6461eb0794f,gbaka : Rivera 2 → Liberté,5.3529,-3.977,5.3527,-4.0144
a608f058-a18a-4dc8-bd98-88d91ee106b0,woro-woro : Blockauss → La vie,5.3251,-4.0015,5.3481,-4.0025
7a4bb1e1-c0b4-4fda-9853-43cfe91ae301,woro-woro : Pâtisserie → Blockauss,5.3251,-4.0015,5.3366,-4
147144aa-9d6f-4ac1-b1c1-de159713c578,woro-woro : Blockauss → Pâtisserie,5.3251,-4.0015,5.3367,-4
5aee3559-2e4a-4100-8e83-1e25af6f2524,woro-woro : Akouédo → Riviera 2 Station,5.3484,-3.941,5.3513,-3.9762
0f97fa3a-4f69-448f-a6f9-fdeac868d27c,woro-woro : Riviera 2 Station → Akouédo,5.3514,-3.9763,5.3484,-3.941
1cc20c80-2d24-4931-966c-682a377f72d4,woro woro : Pont Soro → Zoo,5.3782,-4.0063,5.3849,-3.983
b1ce8c27-7aa3-4354-8174-15125373597b,gbaka : 9 Kilo → Djeni Kobenan,5.3577,-3.9645,5.362,-4.0173
84bb8a55-771f-484c-8a93-aa8d0c854bdc,woro woro : Zoo → Pont Soro,5.3782,-4.0063,5.3849,-3.983
7b37656c-08e4-43e8-98fe-83ceadf76388,woro woro : Cascades → Zoo,5.3786,-4.0062,5.3806,-3.9854
d6a75e3a-3cad-4d70-a13d-59519752109f,woro woro banalisé : Mairie d'Adjamé → Plateau Longchamp,5.3245,-4.0221,5.3418,-4.0262
e2f61d67-303e-4569-bbb7-6d31d9b8497f,gbaka : Adjamé en Haut → Abatta,5.3504,-4.0229,5.3502,-4.023
57b15669-1251-4e83-9b6b-cefb2bbd9379,woro woro : Zoo → Cascades,5.3782,-4.0062,5.3806,-3.9854
30812ac6-8a43-40a8-bc9c-72b084e221e0,woro woro : Zinssou → Zoo,5.3782,-4.0063,5.3837,-3.9824
b375c6b0-899e-4bf5-a107-c20f395058c5,gbaka : Liberté → Palmeraie,5.3534,-4.015,5.361,-3.9597
a7390611-7c0d-4edd-8e76-f41b59b5a95d,gbaka : Ecole de Police → Liberté,5.3501,-3.9893,5.3521,-4.017
02ce848b-0e12-47a0-8d42-72d08f10efa3,woro woro : Zoo → Zinssou,5.3782,-4.0062,5.3837,-3.9824
d1f4c9b1-ee2f-4f94-870c-f51017d2fe7f,woro woro : 2 Plateaux Vallons → Gare carrefour 2 Plateaux,5.3649,-4.0156,5.3618,-3.99
