@id	@lat	@lon	name	highway	public_transport	operator	shelter	official_status
6903097503	5.4552984	-4.0113400	Destin	bus_stop	platform		no	unofficial
6903097504	5.4594779	-4.0109968	À l'École	bus_stop	platform		no	unofficial
6903097505	5.4607464	-4.0110618	Akéikoi Village	bus_stop	platform		no	unofficial
6903193216	5.4428776	-4.0143977	Carrefour Mosquée	bus_stop	platform		no	unofficial
6903193217	5.4463551	-4.0144634	A l'étage	bus_stop	platform		no	unofficial
6903525056	5.4422398	-4.0478558	Marahoué	bus_stop	platform		no	unofficial
6903525057	5.4440562	-4.0488160	Agripac	bus_stop	platform		no	unofficial
6903525058	5.4477750	-4.0509604	Ancien Terminus	bus_stop	platform		no	unofficial
6903525059	5.4479797	-4.0508555	Ancien Terminus	bus_stop	platform		no	unofficial
6903525060	5.4455021	-4.0494035	Boulangerie/ Délice de france	bus_stop	platform		no	unofficial
6903525061	5.4420449	-4.0474964	Marahoué	bus_stop	platform		no	unofficial
6903602212	5.4497748	-4.0521700	PK 18 ancien marché	bus_stop	platform		no	unofficial
6903602222	5.4448006	-4.0493193	Agripac Avant le Feu	bus_stop	platform		no	unofficial
6903602223	5.4493883	-4.0520966	Station Total	bus_stop	platform		no	unofficial
6903602224	5.4500520	-4.0525997	PK 18 ancien marché	bus_stop	platform		no	unofficial
6938343085	5.4436702	-4.0484080	Agripac Avant le Feu	bus_stop	platform		no	unofficial
6967074787	5.4436844	-4.0486617	Agripac Après le Feu	bus_stop	platform		no	
7066057003	5.4433537	-4.0690529	Carrefour N'dotré	bus_stop	platform		no	unofficial
7066057005	5.4434370	-4.0688789	Carrefour N'dotré	bus_stop	platform		no	unofficial
7066057006	5.4434682	-4.0678744	Blé d'Oré	bus_stop	platform		no	unofficial
7066057007	5.4435916	-4.0652862	Carrefour Céleste	bus_stop	platform		no	unofficial
7066057008	5.4436197	-4.0636905	Plaque Rouge	bus_stop	platform		no	unofficial
7066057009	5.4437308	-4.0597417	Carrefour Diallo	bus_stop	platform		no	unofficial
7066057010	5.4438420	-4.0553823	Pharmacie Safir	bus_stop	platform		no	unofficial
7066312408	5.4439833	-4.0493835	Agripac avant le feu	bus_stop	platform		no	unofficial
7066312409	5.4434869	-4.0653548	Carrefour Céleste	bus_stop	platform		no	unofficial
7066312410	5.4436230	-4.0600615	Carrefour Diallo	bus_stop	platform		no	unofficial
7066312411	5.4433989	-4.0676520	Blé d'Oré	bus_stop	platform		no	unofficial
7066312412	5.4425174	-4.0693468	Carrefou N'dotré	bus_stop	platform		no	unofficial
7077860787	5.4421097	-4.0207091	BC (Belle Cité)	bus_stop	platform		no	unofficial
7077860800	5.4421376	-4.0205733	Carrefour BC	bus_stop	platform		no	unofficial
7078020131	5.4488985	-4.0517014	Ecole Djessou	bus_stop	platform		no	unofficial
7078020133	5.4595660	-4.0541670	Carrefour Marché	bus_stop	platform		no	unofficial
7078020134	5.4806341	-4.0533408	Gare d'Anyama	bus_stop	platform		no	unofficial
7078020135	5.4808672	-4.0531236	Gare d'Anyama	bus_stop	platform		no	unofficial
7078020142	5.4795172	-4.0535717	Colatier	bus_stop	platform		no	unofficial
7078020143	5.4671649	-4.0533181	Berthé	bus_stop	platform		no	unofficial
7078020144	5.4613637	-4.0537700	Ancienne Gendarmerie	bus_stop	platform		no	unofficial
7170470249	5.4458699	-4.0206977	BC (Belle Cité)	bus_stop	platform		no	unofficial
7170470250	5.4461903	-4.0207118	Terminus BC/ Pharmacie Belle Cité	bus_stop	platform		no	unofficial
7170470251	5.4426577	-4.0205347	Carrefour Ecole	bus_stop	platform		no	unofficial
7170486851	5.4438205	-4.0534042	Taxi Gare après pont	bus_stop	platform		no	unofficial
7170486852	5.4437084	-4.0575090	Bon Prix	bus_stop	platform		no	unofficial
7170486853	5.4433467	-4.0688568	Carrefour N'dotré	bus_stop	platform		no	unofficial
7170486854	5.4434882	-4.0682969	Paris Baguette	bus_stop	platform		no	unofficial
7171370584	5.4411260	-4.0087237	Carrefour Bassolé	bus_stop	platform		no	unofficial
7171384785	5.4434935	-4.0088370	Houphouët-Boigny	bus_stop	platform		no	unofficial
7171384786	5.4435552	-4.0087707	Houphouët-Boigny	bus_stop	platform		no	unofficial
7885028586	5.4877199	-4.0515527	Carrefour Perception	bus_stop	platform		no	unofficial
7885028587	5.4965414	-4.0516535	Carrefour marché	bus_stop	platform		no	unofficial
7885028588	5.5011979	-4.0521667	Carrefour Terrain	bus_stop	platform		no	unofficial
7885028589	5.5128381	-4.0597819	Carrefour Garage	bus_stop	platform		no	unofficial
7885028590	5.4863724	-4.0513861	Carrefour Sylla	bus_stop	platform		no	unofficial
7885028591	5.4834795	-4.0512810	Carrefour Policier	bus_stop	platform		no	unofficial
7885028987	5.4985011	-4.0512984	Carrefour Maternité	bus_stop	platform		no	unofficial
7885028988	5.4871743	-4.0514090	Carrefour Garage	bus_stop	platform		no	unofficial
7885073685	5.5133344	-4.0597084	Carrefour Garage	bus_stop	platform		no	unofficial
7885074885	5.4618976	-4.0537521	Ancienne Gendarmerie	bus_stop	platform		no	unofficial
7888143686	5.4827269	-4.0513681	Carrefour Cissé	bus_stop	platform		no	unofficial
7888143986	5.4809714	-4.0529385	Gare d'Anyama	bus_stop	platform		no	unofficial
7888144686	5.4871256	-4.0515089	Carrefour Garage	bus_stop	platform		no	unofficial
7888144687	5.5069600	-4.0536709	Mairie d'Anyama	bus_stop	platform		no	unofficial
7888144688	5.4963362	-4.0515545	Carrefour marché	bus_stop	platform		no	unofficial
7888144689	5.4878197	-4.0514177	Carrefour Perception	bus_stop	platform		no	unofficial
7888144786	5.4864074	-4.0514774	Carrefour Sylla	bus_stop	platform		no	unofficial
7888144885	5.4836214	-4.0513996	Carrefour Policier	bus_stop	platform		no	unofficial
7888144985	5.4890099	-4.0515874	Carrefour Poteaux	bus_stop	platform		no	unofficial
7888144986	5.4952200	-4.0517934	La Poste	bus_stop	platform		no	unofficial
7888144987	5.4983565	-4.0514003	Carrefour Maternité	bus_stop	platform		no	unofficial
7888144989	5.4807017	-4.0530103	Gare d'Anyama	bus_stop	platform		no	unofficial
7888145085	5.5071610	-4.0538237	Mairie d'Anyama	bus_stop	platform		no	unofficial
7888145285	5.5004937	-4.0517811	Ecole Plateau	bus_stop	platform		no	unofficial
7888217787	5.4410755	-4.0086811	Carrefour Bassolé	bus_stop	platform		no	unofficial
7888218088	5.4429528	-4.0088304	Houphouët-Boigny	bus_stop	platform		no	unofficial
7888224385	5.4429873	-4.0087401	Houphouët-Boigny	bus_stop	platform		no	unofficial
7888269187	5.4437109	-4.0267102	BC Carrefour Niamkey	bus_stop	platform		no	unofficial
7888284985	5.4436183	-4.0266352	BC Carrefour Niamkey	bus_stop	platform		no	unofficial
7888312787	5.4410690	-4.0204892	Gros Pneu	bus_stop	platform		no	unofficial
7888315788	5.4458966	-4.0206387	BC (Belle Cité)	bus_stop	platform		no	unofficial
7966345986	5.4429301	-4.0695213	Carrefou N'dotré	bus_stop	platform		no	unofficial
7966346085	5.4430690	-4.0693992	N'dotré	bus_stop	platform		no	unofficial
7966538190	5.4441490	-4.0489883	Agripac	bus_stop	platform		no	unofficial
9237456490	5.4461122	-4.0220187	Arrêt	bus_stop	platform		no	unofficial
9237456491	5.4463131	-4.0223727	Sainte Foi	bus_stop	platform		no	unofficial
9237456492	5.4479599	-4.0224220	Au carrefour	bus_stop	platform		no	unofficial
9237456493	5.4533828	-4.0252816	Arret	bus_stop	platform		no	unofficial
9237456494	5.4540998	-4.0264510	BC (Belle Cité) en bas	bus_stop	platform		no	unofficial
9237456495	5.4541578	-4.0264021	BC (Belle Cité) en bas	bus_stop	platform		no	unofficial
9237456496	5.4462591	-4.0206813	BC (Belle Cité)	bus_stop	platform		no	unofficial
9238976231	5.4461998	-4.0206646	Terminus BC/ Pharmacie Belle Cité	bus_stop	platform		no	unofficial
9250076884	5.4613742	-4.0539225	Ancienne Gendarmerie	bus_stop	platform		no	unofficial
9250076885	5.4563300	-4.0543898	Unicafé	bus_stop	platform		no	unofficial
9272827001	5.4425052	-4.0693987	Carrefou N'dotré	bus_stop	platform		no	unofficial
9293675332	5.4434414	-4.0696983	Gare N'dotré	bus_stop	platform		no	unofficial
9293675334	5.4434474	-4.0696554	Gare N'dotré	bus_stop	platform		no	unofficial
9293675336	5.4406205	-4.0688494	Carrefour Marché	bus_stop	platform		no	unofficial
9294738196	5.4443666	-4.0485504	Agripac	bus_stop	platform		no	unofficial
9295724420	5.4435082	-4.0665172	Carrefour Koné	bus_stop	platform		no	unofficial
9295724421	5.4436157	-4.0639295	Bleu Blanc	bus_stop	platform		no	unofficial
9295724422	5.4440983	-4.0494114	Agripac	bus_stop	platform		no	unofficial
9296302624	5.4564456	-4.0545580	Unicafé	bus_stop	platform		no	unofficial
9296302625	5.4807629	-4.0530484	Gare d'Anyama	bus_stop	platform		no	unofficial
9296302626	5.4949124	-4.0517113	La Poste	bus_stop	platform		no	unofficial
9296302627	5.4927755	-4.0515818	Escalier	bus_stop	platform		no	unofficial
9296302628	5.4889439	-4.0515027	Carrefour Poteaux	bus_stop	platform		no	unofficial
9296302629	5.4826038	-4.0512887	Carrefour Cissé	bus_stop	platform		no	unofficial
9296302630	5.4806474	-4.0524586	Deuxième Porte	bus_stop	platform			unofficial
9296302631	5.4722806	-4.0540215	Morgue	bus_stop	platform			unofficial
9296302632	5.4552123	-4.0544761	Koffi Jean	bus_stop	platform			unofficial
9299955048	5.4498499	-4.0524300	PK 18 ancien marché	bus_stop	platform		no	unofficial
9299955049	5.4405733	-4.0464658	Ancien Garage	bus_stop	platform		no	unofficial
9300351955	5.4446035	-4.0484077	Agripac	bus_stop	platform		no	unofficial
9300679484	5.4615789	-4.0536815	Ancienne Gendarmerie	bus_stop	platform		no	unofficial
9300679485	5.4722345	-4.0324762	Belle-Ville	bus_stop	platform		no	unofficial
9300679487	5.4721951	-4.0324599	Belle-Ville	bus_stop	platform		no	unofficial
9300679488	5.4696327	-4.0351355	Koné	bus_stop	platform		no	unofficial
